track_id,track_id,modality,source,time_day,number_of_samples,time_start,time_stop,time_total_s,time_total,avg_frequency,number_of_samples_af,time_start_af,time_stop_af,total_avg_speed,track_distance,mean_speed,max_speed,mean_accel,max_accel
1500000219661,1500000219661,car,Logger,2020-12-01 00:00:00.000,10340,2020-12-01 11:32:10.000,2020-12-01 11:49:23.900,1033.9,0 days 00:17:13.900000,10.00096721152916,6099,2020-12-01 11:32:10,2020-12-01 11:49:23.600000,6.453216150696117,6671.980178204716,10.312298713545557,22.44509773633296,12.775222921524836,77.692179968843
1500000219662,1500000219662,car,Logger,2020-12-01 00:00:00.000,10660,2020-12-01 12:12:25.000,2020-12-01 12:30:10.900,1065.9,0 days 00:17:45.900000,10.000938174312786,8005,2020-12-01 12:12:25,2020-12-01 12:30:10.200000,6.280613847387043,6694.50629992985,7.699803204931931,21.021445300514493,10.679412346888407,95.71445300514493
1500000219663,1500000219663,car,Logger,2020-12-01 00:00:00.000,4490,2020-12-01 12:52:32.000,2020-12-01 13:00:00.900,448.9,0 days 00:07:28.900000,10.00222766763199,3761,2020-12-01 12:52:32,2020-12-01 13:00:00.900000,5.26028957587155,2361.3439906087387,5.811757305283042,11.876205223514162,10.255852793135865,41.49394399879037
1500000219664,1500000219664,car,Logger,2020-12-01 00:00:00.000,4530,2020-12-01 13:25:14.000,2020-12-01 13:32:46.900,452.9,0 days 00:07:32.900000,10.002207992934423,3521,2020-12-01 13:25:14,2020-12-01 13:32:46.900000,5.357899612968493,2426.59273471343,6.361443465271308,11.389553438323917,13.435501171570252,44.36648872266138
1500000219665,1500000219665,car,Logger,2020-12-01 00:00:00.000,1880,2020-12-01 13:42:25.000,2020-12-01 13:45:32.900,187.9,0 days 00:03:07.900000,10.005321979776477,1021,2020-12-01 13:42:25,2020-12-01 13:45:32.900000,3.790998551225273,712.3286277752288,5.508925173201638,11.389601883847995,15.196568813230936,44.394509975132
1500000219666,1500000219666,car,Logger,2020-12-01 00:00:00.000,8050,2020-12-01 13:59:03.000,2020-12-01 14:12:27.900,804.9,0 days 00:13:24.900000,10.001242390359051,2277,2020-12-01 13:59:03,2020-12-01 14:12:26.200000,1.6068111335296333,1293.322281378002,4.494779266966,15.199110839285158,12.352715559219385,61.38818286163294
1500000219667,1500000219667,car,Logger,2020-12-01 00:00:00.000,15440,2020-12-01 14:23:25.000,2020-12-01 14:49:08.900,1543.9,0 days 00:25:43.900000,10.000647710343934,9772,2020-12-01 14:23:25,2020-12-01 14:49:08.800000,9.460879715532876,14606.652192811209,11.702714011848826,28.63185172438854,26.06788822314218,109.41851726363758
1500000219668,1500000219668,car,Logger,2020-12-01 00:00:00.000,15770,2020-12-01 15:03:36.000,2020-12-01 15:29:52.900,1576.9,0 days 00:26:16.900000,10.000634155621789,6891,2020-12-01 15:03:36,2020-12-01 15:29:51.800000,3.3280787297863004,5248.047349000018,6.58050336259262,17.07345420561751,10.70923497644487,52.97317531701857
1500000219669,1500000219669,car,Logger,2020-12-02 00:00:00.000,10300,2020-12-02 06:26:02.000,2020-12-02 06:43:11.900,1029.9,0 days 00:17:09.900000,10.00097096805515,3097,2020-12-02 06:26:02,2020-12-02 06:43:11.900000,1.9199524636857344,1977.359042349938,4.619115412702036,11.876566262201429,6.944811053919191,37.13950650513002
1500000219670,1500000219670,car,Logger,2020-12-02 00:00:00.000,740,2020-12-02 08:03:56.000,2020-12-02 08:05:09.900,73.9,0 days 00:01:13.900000,10.013531799729364,433,2020-12-02 08:03:56,2020-12-02 08:05:09.800000,3.994388177546417,295.18528632068023,5.165091982160741,9.85882379767777,6.845474256936776,36.41443375322064
1500000219671,1500000219671,car,Logger,2020-12-02 00:00:00.000,7690,2020-12-02 08:58:45.000,2020-12-02 09:11:33.900,768.9,0 days 00:12:48.900000,10.001300559240473,4177,2020-12-02 08:58:45,2020-12-02 09:11:33.700000,4.813500517522403,3701.1005479229757,8.006649471602785,22.653701234245247,16.42947469341984,77.0370088626143
1500000219672,1500000219672,car,Logger,2020-12-02 00:00:00.000,17600,2020-12-02 09:25:41.000,2020-12-02 09:55:00.900,1759.9,0 days 00:29:19.900000,10.000568214103074,9577,2020-12-02 09:25:41,2020-12-02 09:55:00.300000,4.321073308541973,7604.656915703018,6.97798761068804,18.893599883719382,16.172102896085732,69.2359988371938
1500000219673,1500000219673,car,Logger,2020-12-02 00:00:00.000,17620,2020-12-02 10:08:13.000,2020-12-02 10:37:34.900,1761.9,0 days 00:29:21.900000,10.000567569101538,7961,2020-12-02 10:08:13,2020-12-02 10:37:34.300000,3.7165323672838997,6548.1583779175035,6.758314463903289,18.50017908227758,16.818618536103827,97.39149174866611
1500000219674,1500000219674,car,Logger,2020-12-02 00:00:00.000,14710,2020-12-02 11:03:29.000,2020-12-02 11:27:59.900,1470.9,0 days 00:24:30.900000,10.000679855870555,9330,2020-12-02 11:03:29,2020-12-02 11:27:59.800000,5.126464401190676,7540.516487711365,7.084414688599019,16.440452765645425,15.302525906756452,59.10452765645425
1500000219675,1500000219675,car,Logger,2020-12-02 00:00:00.000,7480,2020-12-02 11:38:54.000,2020-12-02 11:51:21.900,747.9,0 days 00:12:27.900000,10.001337077149351,4506,2020-12-02 11:38:54,2020-12-02 11:51:21.700000,4.478968324568279,3349.8204099446157,6.790329310812068,14.398434489071365,18.110303428596197,61.128956760328315
1500000219676,1500000219676,car,Logger,2020-12-02 00:00:00.000,14540,2020-12-02 12:08:39.000,2020-12-02 12:32:52.900,1453.9,0 days 00:24:13.900000,10.000687805213563,10687,2020-12-02 12:08:39,2020-12-02 12:32:52.300000,6.695102747077524,9734.009883976012,8.645199790366066,17.468556589335833,7.336897687928395,59.98556589335832
1500000219677,1500000219677,car,Logger,2020-12-02 00:00:00.000,15970,2020-12-02 12:42:40.000,2020-12-02 13:09:16.900,1596.9,0 days 00:26:36.900000,10.000626213288246,9442,2020-12-02 12:42:40,2020-12-02 13:09:16.900000,4.796592462711809,7659.678503704487,7.6257239715022,18.027462251631334,17.452943911878172,63.07462251631333
1500000219678,1500000219678,car,Logger,2020-12-02 00:00:00.000,13520,2020-12-02 13:19:25.000,2020-12-02 13:41:56.900,1351.9,0 days 00:22:31.900000,10.000739699681928,9634,2020-12-02 13:19:25,2020-12-02 13:41:56.500000,8.437046311305416,11406.042908253792,11.197418295388394,22.653610029368743,22.743345069570495,76.43607711602098
1500000219679,1500000219679,car,Logger,2020-12-02 00:00:00.000,4550,2020-12-02 13:51:17.000,2020-12-02 13:58:51.900,454.9,0 days 00:07:34.900000,10.002198285337437,2632,2020-12-02 13:51:17,2020-12-02 13:58:51,5.030040266022017,2288.1653170134155,8.068327256604787,21.20877906205247,13.615631902842393,73.9877906007725
1500000219680,1500000219680,car,Logger,2020-12-02 00:00:00.000,1840,2020-12-02 14:08:29.000,2020-12-02 14:11:32.900,183.9,0 days 00:03:03.900000,10.005437737901033,1209,2020-12-02 14:08:29,2020-12-02 14:11:32.500000,3.430516955077074,630.872068038674,4.528873363228152,8.378773205877385,3.4912557402376097,30.013937211827074
